,Дата создания твита:,Кол-во комментов:,Кол-во репостов:,Кол-во лайков:,Кол-во просмотров:,Автор:,Подписчиков:,Акк создан:,Общ. кол-во постов:,Оценка:,Score:
0,Tue Sep 05 09:38:29 +0000 2023,610,513,660,22981,PepeCoin0x,223933,Fri Mar 05 21:20:16 +0000 2021,111,Bad,0
1,Tue Sep 05 14:43:38 +0000 2023,68,66,78,1629,CryptoMafia420,75364,Sun May 02 11:33:45 +0000 2021,2665,Bad,2
2,Tue Sep 05 12:18:59 +0000 2023,335,336,336,5851,ceasersneezer,32,Wed Oct 29 14:00:46 +0000 2014,5,Terrible,
3,Mon Sep 04 19:18:05 +0000 2023,404,449,476,24110,Jameseth100x,25385,Tue Jul 28 05:18:47 +0000 2020,198,Terrible,
4,Mon Sep 04 21:36:05 +0000 2023,1339,1504,1498,15252,bxchangeio,5338,Sun Jul 09 23:41:06 +0000 2023,4,Terrible,
5,Tue Sep 05 09:14:14 +0000 2023,270,282,332,10065,the_kingslife,392541,Thu Oct 27 13:16:23 +0000 2022,1544,Bad,1
6,Tue Sep 05 10:40:47 +0000 2023,87,113,115,1735,JACKPOTJB77,1868,Sun Jul 23 09:39:47 +0000 2023,1745,Terrible,
7,Tue Sep 05 15:09:29 +0000 2023,8,47,40,441,NickNFTn,91930,Sat Feb 12 13:04:07 +0000 2022,17488,Normal,13
8,Mon Sep 04 15:22:46 +0000 2023,1922,2491,2212,32028,Enthusiasm_NFT,61648,Thu Apr 21 04:07:46 +0000 2022,41172,Normal,15
9,Tue Sep 05 08:32:07 +0000 2023,148,143,151,4243,CryptoMafia420,75364,Sun May 02 11:33:45 +0000 2021,2665,Bad,2
10,Mon Jul 17 08:48:12 +0000 2023,85,29,255,1923902,dedotfi_news,1076,Tue Jul 14 18:32:04 +0000 2015,901,Bad,0
11,Tue Sep 05 09:36:14 +0000 2023,121,64,129,5643,EthLilly,116894,Sat Feb 26 13:57:14 +0000 2022,2332,Bad,1
12,Tue Sep 05 14:50:11 +0000 2023,41,35,53,1053,L1ttlebegoD,1010,Mon Jul 18 04:23:26 +0000 2022,317,Terrible,
13,Tue Sep 05 09:32:39 +0000 2023,257,362,380,5963,AmeerNFTs,121488,Tue Jul 05 11:02:21 +0000 2011,21012,Normal,19
14,Mon Sep 04 20:57:00 +0000 2023,899,799,927,40617,PepeCoin0x,223933,Fri Mar 05 21:20:16 +0000 2021,111,Bad,0
15,Tue Sep 05 06:46:41 +0000 2023,149,155,194,6768,Bitcoinpro0,80738,Sun Nov 06 11:48:06 +0000 2022,19,Bad,0
16,Mon Sep 04 17:20:31 +0000 2023,204,196,229,3696,USDT0637,9580,Mon Jul 24 17:10:12 +0000 2023,26,Terrible,
17,Tue Sep 05 06:45:04 +0000 2023,126,114,136,2238,USDT0637,9580,Mon Jul 24 17:10:12 +0000 2023,26,Terrible,
18,Tue Sep 05 05:45:39 +0000 2023,148,138,173,4042,TRX2024,69989,Thu Feb 10 17:28:53 +0000 2022,25,Bad,0
19,Sun Aug 27 06:10:25 +0000 2023,1935,1543,2024,127196,USDT3706,72318,Tue Aug 16 12:43:51 +0000 2022,49,Bad,0
20,Tue Sep 05 10:53:01 +0000 2023,127,24,118,1724,RikkRollins,2970,Tue Jul 05 16:35:16 +0000 2022,11191,Bad,1
21,Tue Sep 05 11:52:41 +0000 2023,363,519,383,4312,Enthusiasm_NFT,61648,Thu Apr 21 04:07:46 +0000 2022,41172,Normal,15
22,Mon Sep 04 17:00:00 +0000 2023,582,910,808,12690,solbountyy,26720,Mon Oct 03 15:19:27 +0000 2011,16259,Bad,4
23,Mon Sep 04 12:22:42 +0000 2023,587,605,574,4728,ShinyNfts,25081,Sat Aug 20 16:41:33 +0000 2022,10014,Bad,0
24,Tue Sep 05 14:44:50 +0000 2023,47,50,81,1735,_BillionAireSon,59797,Sun Dec 29 11:48:02 +0000 2019,10492,Bad,8
25,Tue Sep 05 09:56:23 +0000 2023,197,188,215,8914,PokyToken,23562,Tue Nov 09 22:12:33 +0000 2021,27,Terrible,
26,Tue Sep 05 10:24:25 +0000 2023,14,18,204,47450,lookonchain,252936,Mon Nov 22 10:21:05 +0000 2021,4273,Excellent,200
27,Tue Sep 05 13:05:31 +0000 2023,43,22,31,543,ACEAnimalsOL,7450,Mon Feb 06 09:44:30 +0000 2023,138,Bad,1
28,Tue Sep 05 07:36:17 +0000 2023,65,22,75,1033,nftwithu,2103,Thu Oct 21 10:02:07 +0000 2021,39543,Bad,0
29,Wed Aug 30 13:47:01 +0000 2023,15,113,635,1133138,radixdlt,205417,Thu Dec 26 19:55:41 +0000 2013,5456,Good,93
